LAD19CD,ethnicity,population,proportion
E06000001,Asian/Asian British,1304.0,0.0141696005563524
E06000001,Black/African/Caribbean/Black British,170.0,0.00184726387621159
E06000001,Mixed/multiple ethnic group,550.0,0.00597644195244925
E06000001,Other ethnic group,105.0,0.00114095710001304
E06000001,White,89899.0,0.976865736514974
E06000002,Asian/Asian British,10768.0,0.0777967228275005
E06000002,Black/African/Caribbean/Black British,1731.0,0.012506141086033
E06000002,Mixed/multiple ethnic group,2362.0,0.0170649943646505
E06000002,Other ethnic group,1496.0,0.0108083114180851
E06000002,White,122055.0,0.881823830303731
E06000003,Asian/Asian British,869.0,0.00642860841711238
E06000003,Black/African/Caribbean/Black British,122.0,0.000902520399180334
E06000003,Mixed/multiple ethnic group,853.0,0.00631024508607233
E06000003,Other ethnic group,130.0,0.000961702064700356
E06000003,White,133203.0,0.985396924032935
E06000004,Asian/Asian British,6632.0,0.0346119722352696
E06000004,Black/African/Caribbean/Black British,1133.0,0.00591305255466834
E06000004,Mixed/multiple ethnic group,1997.0,0.0104222117843536
E06000004,Other ethnic group,549.0,0.00286519492719587
E06000004,White,181299.0,0.946187568498513
E06000005,Asian/Asian British,2205.0,0.0208878026599977
E06000005,Black/African/Caribbean/Black British,357.0,0.00338183471638058
E06000005,Mixed/multiple ethnic group,1146.0,0.010855973627373
E06000005,Other ethnic group,261.0,0.00247243378424463
E06000005,White,101595.0,0.962401955212004
E06000006,Asian/Asian British,943.0,0.00749924450877165
E06000006,Black/African/Caribbean/Black British,260.0,0.00206766020390311
E06000006,Mixed/multiple ethnic group,1356.0,0.0107836432172793
E06000006,Other ethnic group,146.0,0.00116107072988405
E06000006,White,123041.0,0.978488381340162
E06000007,Asian/Asian British,4911.0,0.0242844709931365
E06000007,Black/African/Caribbean/Black British,694.0,0.00343177008129438
E06000007,Mixed/multiple ethnic group,2144.0,0.0106018948909152
E06000007,Other ethnic group,487.0,0.00240817295330024
E06000007,White,193992.0,0.959273691081354
E06000008,Asian/Asian British,41494.0,0.281336235244662
E06000008,Black/African/Caribbean/Black British,933.0,0.00632589549051116
E06000008,Mixed/multiple ethnic group,1823.0,0.012360243814793
E06000008,Other ethnic group,1230.0,0.00833960498749059
E06000008,White,102009.0,0.691638020462543
E06000009,Asian/Asian British,2282.0,0.0160630697216063
E06000009,Black/African/Caribbean/Black British,346.0,0.00243550487452926
E06000009,Mixed/multiple ethnic group,1753.0,0.0123394220955197
E06000009,Other ethnic group,345.0,0.00242846584309999
E06000009,White,137339.0,0.966733537465245
E06000010,Asian/Asian British,6471.0,0.0252373189394944
E06000010,Black/African/Caribbean/Black British,2996.0,0.0116845939642598
E06000010,Mixed/multiple ethnic group,3454.0,0.013470823615672
E06000010,Other ethnic group,2164.0,0.00843974009968565
E06000010,White,241321.0,0.941167523380888
E06000011,Asian/Asian British,2961.0,0.00886052085858178
E06000011,Black/African/Caribbean/Black British,598.0,0.00178946013962577
E06000011,Mixed/multiple ethnic group,2301.0,0.00688553140682089
E06000011,Other ethnic group,530.0,0.00158597637792919
E06000011,White,327789.0,0.980878511217042
E06000012,Asian/Asian British,2129.0,0.0133382618283881
E06000012,Black/African/Caribbean/Black British,411.0,0.00257492983159583
E06000012,Mixed/multiple ethnic group,1186.0,0.00743033279871692
E06000012,Other ethnic group,469.0,0.00293830192461909
E06000012,White,155421.0,0.97371817361668
E06000013,Asian/Asian British,4549.0,0.0271669672610872
E06000013,Black/African/Caribbean/Black British,494.0,0.00295020484215807
E06000013,Mixed/multiple ethnic group,1244.0,0.00742926077660858
E06000013,Other ethnic group,411.0,0.00245452265207888
E06000013,White,160748.0,0.959999044468067
E06000014,Asian/Asian British,6740.0,0.0340316383153834
E06000014,Black/African/Caribbean/Black British,1194.0,0.00602875017041065
E06000014,Mixed/multiple ethnic group,2413.0,0.0121837304532671
E06000014,Other ethnic group,973.0,0.00491287597638992
E06000014,White,186731.0,0.942843005084549
E06000015,Asian/Asian British,31095.0,0.12500402006818
E06000015,Black/African/Caribbean/Black British,7320.0,0.0294268990802084
E06000015,Mixed/multiple ethnic group,7232.0,0.029073133080337
E06000015,Other ethnic group,3354.0,0.0134833086769152
E06000015,White,199751.0,0.803012639094359
E06000016,Asian/Asian British,122470.0,0.371302362667847
