UTLA19CD,ethnicity,population,proportion
E06000001,Asian/Asian British,1304,0.014169600556352415
E06000001,Black/African/Caribbean/Black British,170,0.0018472638762115877
E06000001,Mixed/multiple ethnic group,550,0.005976441952449255
E06000001,Other ethnic group,105,0.0011409571000130395
E06000001,White,89899,0.9768657365149737
E06000002,Asian/Asian British,10768,0.07779672282750051
E06000002,Black/African/Caribbean/Black British,1731,0.012506141086033004
E06000002,Mixed/multiple ethnic group,2362,0.017064994364650463
E06000002,Other ethnic group,1496,0.010808311418085137
E06000002,White,122055,0.8818238303037309
E06000003,Asian/Asian British,869,0.006428608417112378
E06000003,Black/African/Caribbean/Black British,122,9.025203991803339e-4
E06000003,Mixed/multiple ethnic group,853,0.006310245086072335
E06000003,Other ethnic group,130,9.617020647003558e-4
E06000003,White,133203,0.9853969240329346
E06000004,Asian/Asian British,6632,0.03461197223526956
E06000004,Black/African/Caribbean/Black British,1133,0.005913052554668337
E06000004,Mixed/multiple ethnic group,1997,0.010422211784353635
E06000004,Other ethnic group,549,0.0028651949271958667
E06000004,White,181299,0.9461875684985126
E06000005,Asian/Asian British,2205,0.020887802659997727
E06000005,Black/African/Caribbean/Black British,357,0.0033818347163805844
E06000005,Mixed/multiple ethnic group,1146,0.010855973627372967
E06000005,Other ethnic group,261,0.002472433784244629
E06000005,White,101595,0.9624019552120041
E06000006,Asian/Asian British,943,0.007499244508771651
E06000006,Black/African/Caribbean/Black British,260,0.0020676602039031064
E06000006,Mixed/multiple ethnic group,1356,0.010783643217279277
E06000006,Other ethnic group,146,0.001161070729884052
E06000006,White,123041,0.9784883813401619
E06000007,Asian/Asian British,4911,0.02428447099313646
E06000007,Black/African/Caribbean/Black British,694,0.0034317700812943807
E06000007,Mixed/multiple ethnic group,2144,0.010601894890915205
E06000007,Other ethnic group,487,0.0024081729533002353
E06000007,White,193992,0.9592736910813537
E06000008,Asian/Asian British,41494,0.28133623524466234
E06000008,Black/African/Caribbean/Black British,933,0.006325895490511157
E06000008,Mixed/multiple ethnic group,1823,0.012360243814792967
E06000008,Other ethnic group,1230,0.008339604987490593
E06000008,White,102009,0.691638020462543
E06000009,Asian/Asian British,2282,0.01606306972160631
E06000009,Black/African/Caribbean/Black British,346,0.0024355048745292648
E06000009,Mixed/multiple ethnic group,1753,0.012339422095519657
E06000009,Other ethnic group,345,0.0024284658430999894
E06000009,White,137339,0.9667335374652448
E06000010,Asian/Asian British,6471,0.025237318939494397
E06000010,Black/African/Caribbean/Black British,2996,0.011684593964259807
E06000010,Mixed/multiple ethnic group,3454,0.01347082361567202
E06000010,Other ethnic group,2164,0.008439740099685655
E06000010,White,241321,0.9411675233808882
E06000011,Asian/Asian British,2961,0.008860520858581779
E06000011,Black/African/Caribbean/Black British,598,0.0017894601396257694
E06000011,Mixed/multiple ethnic group,2301,0.006885531406820895
E06000011,Other ethnic group,530,0.0015859763779291936
E06000011,White,327789,0.9808785112170424
E06000012,Asian/Asian British,2129,0.013338261828388131
E06000012,Black/African/Caribbean/Black British,411,0.00257492983159583
E06000012,Mixed/multiple ethnic group,1186,0.00743033279871692
E06000012,Other ethnic group,469,0.0029383019246190857
E06000012,White,155421,0.97371817361668
E06000013,Asian/Asian British,4549,0.027166967261087156
E06000013,Black/African/Caribbean/Black British,494,0.002950204842158069
E06000013,Mixed/multiple ethnic group,1244,0.007429260776608579
E06000013,Other ethnic group,411,0.002454522652078879
E06000013,White,160748,0.9599990444680673
E06000014,Asian/Asian British,6740,0.03403163831538341
E06000014,Black/African/Caribbean/Black British,1194,0.006028750170410652
E06000014,Mixed/multiple ethnic group,2413,0.012183730453267087
E06000014,Other ethnic group,973,0.00491287597638992
E06000014,White,186731,0.9428430050845489
E06000015,Asian/Asian British,31095,0.12500402006818034
E06000015,Black/African/Caribbean/Black British,7320,0.029426899080208402
E06000015,Mixed/multiple ethnic group,7232,0.029073133080337044
E06000015,Other ethnic group,3354,0.01348330867691516
E06000015,White,199751,0.803012639094359
E06000016,Asian/Asian British,122470,0.37130236266784705
E06000016,Black/African/Caribbean/Black British,20585,0.062409236021210346
E06000016,Mixed/multiple ethnic group,11580,0.035108037557717554
E06000016,Other ethnic group,8568,0.025976309654103972
E06000016,White,166636,0.5052040540991211
E06000017,Asian/Asian British,365,0.009767454307045948
E06000017,Black/African/Caribbean/Black British,251,0.00671679734539324
E06000017,Mixed/multiple ethnic group,389,0.0104096978779202
E06000017,Other ethnic group,63,0.0016858893735449169
E06000017,White,36301,0.9714201610960957
E06000018,Asian/Asian British,40039,0.1309833813137922
E06000018,Black/African/Caribbean/Black British,22185,0.07257589636220885
E06000018,Mixed/multiple ethnic group,20265,0.06629481811044229
E06000018,Other ethnic group,4493,0.014698377388118293
E06000018,White,218698,0.7154475268254383
E06000019,Asian/Asian British,1439,0.007842944892275326
