Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-04-26,92,0,92,112467,110203,2264
South West,E12000009,Region,2020-04-26,11,NA,NA,5902,NA,NA
South East,E12000008,Region,2020-04-26,19,NA,NA,16128,NA,NA
London,E12000007,Region,2020-04-26,4,NA,NA,23833,NA,NA
East of England,E12000006,Region,2020-04-26,0,NA,NA,9569,NA,NA
West Midlands,E12000005,Region,2020-04-26,12,NA,NA,12052,NA,NA
East Midlands,E12000004,Region,2020-04-26,10,NA,NA,6307,NA,NA
Yorkshire and The Humber,E12000003,Region,2020-04-26,18,NA,NA,9222,NA,NA
North West,E12000002,Region,2020-04-26,2,NA,NA,17483,NA,NA
North East,E12000001,Region,2020-04-26,15,NA,NA,7070,NA,NA
Worcestershire,E10000034,Upper tier local authority,2020-04-26,0,NA,NA,1047,NA,NA
West Sussex,E10000032,Upper tier local authority,2020-04-26,0,NA,NA,1047,NA,NA
Warwickshire,E10000031,Upper tier local authority,2020-04-26,0,NA,NA,1054,NA,NA
Surrey,E10000030,Upper tier local authority,2020-04-26,0,NA,NA,2434,NA,NA
Suffolk,E10000029,Upper tier local authority,2020-04-26,0,NA,NA,936,NA,NA
Staffordshire,E10000028,Upper tier local authority,2020-04-26,9,NA,NA,1595,NA,NA
Somerset,E10000027,Upper tier local authority,2020-04-26,0,NA,NA,454,NA,NA
Oxfordshire,E10000025,Upper tier local authority,2020-04-26,0,NA,NA,1452,NA,NA
Nottinghamshire,E10000024,Upper tier local authority,2020-04-26,0,NA,NA,1014,NA,NA
North Yorkshire,E10000023,Upper tier local authority,2020-04-26,7,NA,NA,836,NA,NA
Northamptonshire,E10000021,Upper tier local authority,2020-04-26,1,NA,NA,990,NA,NA
Norfolk,E10000020,Upper tier local authority,2020-04-26,0,NA,NA,1355,NA,NA
